ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q676,"How are viral hepatitis B and C transmitted, and what are the major causes of infection worldwide?","Hepatitis B: Percutaneous or mucosal exposure to blood or infectious body fluids. Major causes include perinatal transmission, nosocomial exposure, and shared needles. Hepatitis C: Parenteral exposure to blood and plasma derivatives. Major causes include unscreened blood transfusions and re-use of inadequately sterilized needles.",TG Booklet 6,125,"Hepatitis B: Percutaneous Or Mucosal Exposure To Blood Or Infectious Body Fluids. Major Causes Include Perinatal Transmission, Nosocomial Exposure, And Shared Needles. Hepatitis C: Parenteral Exposure To Blood And Plasma Derivatives. Major Causes Include Unscreened Blood Transfusions And Re-use Of Inadequately Sterilized Needles."
Q1112,Why is CBS important?,"CBS is important as it serves as a simple, adaptable, and low-cost public health initiative that enables communities to be aware of potential health risks, monitor notifiable and seasonal diseases, and detect signs of existing disease outbreaks.",TG Booklet 1,431,"CBS Importance, Health Risk Awareness, Disease Monitoring, Outbreak Detection"
Q895,How should health authorities respond to alert and action thresholds for lymphatic filariasis?,"Confirm community prevalence through surveys for alert threshold. For action threshold, initiate case management, including hygiene measures and use the recommended regimen for filarial carriers.",TG Booklet 6,204,"Alert/action Threshold Response, Lymphatic Filariasis, Community Prevalence Confirmation, Case Management, Hygiene Measures, Recommended Regimen, Filarial Carriers"
Q861,How should health personnel respond to suspected cases of epilepsy at the alert threshold?,"Health personnel should check for early signs of epilepsy through good interviews and clinical examination. Once diagnosed, they should search for underlying and associated causes and propose appropriate environmental measures if needed. Immediate treatment should be ensured, starting with low doses of any antiepileptic drug, and referral to a higher-level health structure may be necessary for poor seizure control.",TG Booklet 6,183,"Health Personnel Response, Suspected Epilepsy Cases, Early Signs Detection, Interviews, Clinical Examination, Underlying Causes, Environmental Measures, Immediate Treatment, Antiepileptic Drug, Referral"
Q1038,"How should clinical specimens for poliomyelitis be prepared, stored, and transported?","Place stool in a clean, leak-proof container, label it clearly, refrigerate or use a cold box for transportation, and ensure specimens reach the designated polio laboratory within 72 hours of collection. If transport is delayed, freeze the specimen.",TG Booklet 6,261,"Poliomyelitis Specimen Preparation, Storage, Transportation, Container, Refrigeration, Cold Box, Polio Laboratory"
Q1013,"How is a perinatal death defined, and what is the initial notification timeframe?","Perinatal death includes deaths of babies at least 28 weeks of gestation and/or 1,000 g in weight. The initial notification should be done immediately (within 24 hours) after determining that a perinatal death has occurred.",TG Booklet 6,246,"Perinatal Death Definition, Gestation, Weight, Notification Timeframe, Immediate"
Q401,"Compare the roles of preliminary, interim, and final reports in outbreak investigations. How do they differ in their purposes and content?","Preliminary, interim, and final reports serve distinct roles in outbreak investigations. The preliminary report typically provides initial information, the interim report offers ongoing updates, while the final report consolidates comprehensive findings.",TG Booklet 3,"364, 365, 371","Preliminary Report, Interim Report, Final Report, Outbreak Investigations, Content, Purposes"
Q1020,"What is the incubation period for pneumonic plague, and what is the case fatality rate without treatment?","The incubation period for pneumonic plague is 1 to 3 days, and the case fatality rate is nearly 100% in untreated pneumonic or septicaemic plague.",TG Booklet 6,254,"Pneumonic Plague, Incubation Period, Case Fatality Rate, Treatment"
Q1056,"Which antibiotics are recommended for treating tuberculosis, and why is early detection crucial for tuberculosis control?","Tuberculosis is treated with antibiotics, and early detection is crucial to improve chances of clinical improvement and reduce transmission.",TG Booklet 6,286,"Antibiotics, Tuberculosis Treatment, Early Detection"
Q653,What is the standard case definition for suspected cases of acute haemorrhagic fever syndrome?,"Acute onset of fever in a severely ill patient, with any 2 of specified symptoms and no known predisposing factors.",TG Booklet 6,119,"Acute Onset Of Fever In A Severely Ill Patient, With Any 2 Of Specified Symptoms And No Known Predisposing Factors."
Q376,How can information from person analysis results contribute to outbreak response planning?,"Person analysis provides essential information for planning the outbreak response by precisely describing the high-risk group(s) for transmission of the disease or condition, guiding targeted interventions.",TG Booklet 3,349,"Person Analysis, Outbreak Response Planning, High-risk Groups, Targeted Interventions"
Q186,What methods or software can be used for mapping in disease surveillance?,"Manual methods or open-source GIS software, such as Health Mapper, QGIS, or Geographic Information Software (GIS), can be used to create maps for routine analysis of disease surveillance data.",TG Booklet 2,814,"Methods And Software For Mapping, Manual Methods, Health Mapper, QGIS, Geographic Information Software (GIS)"
Q278,"What triggers the investigation of suspected outbreaks or events, according to Section 4?","The triggers for investigating suspected outbreaks or events, mentioned in Section 4, include receiving a report of a suspected outbreak, observing an unusual increase in cases or deaths during routine data analysis, reaching alert or epidemic thresholds for priority diseases, and responding to community reports or rumors.",TG Booklet 3,194-199,"Triggers, Investigation, Suspected Outbreaks, Events, Section 4, Reports, Data Analysis, Thresholds, Community Reports"
Q576,"What does AAR stand for, and is it explained in the TG?",After Action Reviews,TG Booklet 6,106,"AAR, After Action Reviews, TG Explanation"
Q1215,What tools and guidelines are recommended for evaluating the quality of public health surveillance systems?,"Recommended tools and guidelines include the updated Morbidity Mortality Weekly Report (MMWR), guidelines for evaluating public health surveillance systems by the CDC, and the framework for evaluating public health surveillance systems for early detection of outbreaks.",TG Booklet 4,210,"Tools, Guidelines, Quality Evaluation, Public Health Surveillance Systems, Morbidity Mortality Weekly Report, CDC, Early Detection, Outbreaks"
Q1167,Why is it critical to have quality-assured laboratory support during a humanitarian crisis?,"Quality-assured laboratory support is critical for timely treatment and outbreak response decisions, especially for suspected outbreaks in crisis-affected populations.",TG Booklet 5,167-169,"Quality-assured, Laboratory Support, Humanitarian Crisis, Treatment, Outbreak Response, Decisions, Suspected Outbreaks, Crisis-affected Populations"
